ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,late_payment_count,risk_tier,age_band,credit_limit_bucket,utilisation_rate,utilisation_trend_slope,payment_consistency_score,months_since_last_late,payment_to_bill_ratio,is_outlier
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,0,risk_tier_low,cohort_age_40_49,limit_50K_100K,0.441975,0.054832,1.0,6,0.03622376831268737,False
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.023723118279569893,0.006856,1.0,6,0.6950254957507083,False
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,2,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.23995462962962966,-0.004503,0.6666666666666666,0,0.03953679515031777,False
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,1,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.19639,0.037179,0.8333333333333334,0,0.07279732505049476,False
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.002796,0.000429,1.0,6,0.772889842632332,False
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.0513,0.014451,1.0,6,0.5266587250018049,False
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.8818166666666667,0.056707,1.0,6,0.03576581173965362,False
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,5,risk_tier_high,cohort_age_30_39,limit_100K_200K,0.0056225,0.000239,0.16666666666666666,1,0.2816066399881429,False
60,400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.951725,0.02506,1.0,6,0.047733063647587275,False
61,500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.03656633333333333,0.003986,1.0,6,0.08036536340349502,False
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.5815285714285714,0.235576,1.0,6,0.049622914977767954,False
63,50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,6,risk_tier_high,cohort_age_20_29,limit_50K_100K,0.52558,-0.01472,0.0,0,0.03884597333739234,True
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,0,risk_tier_low,cohort_age_40_49,limit_50K_100K,0.19294666666666668,0.13205,1.0,6,0.017275931172690207,False
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,risk_tier_low,cohort_age_50_59,limit_100K_200K,0.0031435897435897436,-0.001443,1.0,6,0.9596247960848288,False
66,200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,2,risk_tier_medium,cohort_age_50_59,limit_100K_200K,0.39136333333333334,0.182938,0.6666666666666666,4,0.020275277023056155,False
67,10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,3,risk_tier_medium,cohort_age_50_59,limit_below_50K,0.38086666666666663,-0.032109,0.5,0,0.13171713635568003,False
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1,risk_tier_medium,cohort_age_30_39,limit_200K_500K,0.006816666666666667,-0.00284,0.8333333333333334,0,1.0709046454767726,False
69,130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,2,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.010129487179487178,-0.025877,0.6666666666666666,0,2.0,True
70,20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,1,risk_tier_medium,cohort_age_20_29,limit_below_50K,0.73605,0.114446,0.8333333333333334,0,0.0418902701356339,False
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.004875,0.000279,1.0,6,0.8333333333333334,False
72,320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,6,risk_tier_high,cohort_age_20_29,limit_200K_500K,0.18862083333333332,-0.003028,0.0,0,0.0381055468422099,True
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,1,risk_tier_medium,cohort_age_30_39,limit_100K_200K,0.022020833333333333,0.004216,0.8333333333333334,4,0.7383916745506149,False
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,1,risk_tier_medium,cohort_age_30_39,limit_200K_500K,0.0031689655172413792,-0.000386,0.8333333333333334,0,1.0,False
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.06970539215686274,-0.026775,1.0,6,0.9985794555517268,False
76,20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,1,risk_tier_medium,cohort_age_20_29,limit_below_50K,0.8444,-0.029003,0.8333333333333334,2,0.055167377230380545,False
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.48468666666666665,0.156226,1.0,6,0.043725843500268216,False
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.00097,0.0,1.0,6,1.0,False
79,30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,0,risk_tier_low,cohort_age_20_29,limit_below_50K,0.828811111111111,0.115905,1.0,6,0.05637928491949647,False
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,risk_tier_medium,cohort_age_40_49,limit_200K_500K,0.0,0.0,0.8333333333333334,0,1.0,False
81,470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.21802234042553192,0.070221,1.0,6,0.03566229630316368,False
82,360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.13652916666666667,-0.027241,1.0,6,0.5471460107221696,False
83,60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.39879444444444445,0.029331,1.0,6,0.03723026343284622,False
84,400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,1,risk_tier_medium,cohort_age_40_49,limit_200K_500K,0.29206333333333334,0.022306,0.8333333333333334,2,0.03246013992398909,False
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,0,risk_tier_low,cohort_age_40_49,limit_50K_100K,0.5916633333333333,0.133585,1.0,6,0.03409596673784078,False
86,160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.6948052083333333,-0.005398,1.0,6,0.15254125481812197,False
87,360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,risk_tier_medium,cohort_age_40_49,limit_200K_500K,0.001625,0.000217,0.8333333333333334,2,0.6666666666666666,False
88,160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.032940625,0.001132,1.0,6,0.2598108971318344,False
89,130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.2904282051282051,0.16469,1.0,6,0.25031562591045936,False
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,3,risk_tier_medium,cohort_age_40_49,limit_below_50K,0.5109083333333333,-0.042579,0.5,0,0.10032784746122103,False
91,200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,6,risk_tier_high,cohort_age_50_59,limit_100K_200K,0.7184725,-0.011063,0.0,0,0.03804367367342986,True
92,280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.009142857142857144,0.003849,1.0,6,0.25833333333333336,False
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.005925,0.001904,1.0,6,2.0,True
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.004335416666666666,0.001644,1.0,6,2.0,True
95,60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.5495527777777778,0.115318,1.0,6,0.031646945243354443,False
96,90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.6568814814814815,0.152921,1.0,6,0.03314200656299687,False
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.027064814814814816,-0.006916,1.0,6,2.0,True
98,150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,0,risk_tier_low,cohort_age_20_29,limit_100K_200K,0.5326788888888888,0.041997,1.0,6,0.04972977257509736,False
99,50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.2793133333333333,0.049054,1.0,6,0.045146430532019,False
100,20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,0,risk_tier_low,cohort_age_30_39,limit_below_50K,0.7768083333333333,0.135359,1.0,6,0.06098672988832509,False
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.01628452380952381,0.005506,1.0,6,0.9508736018714818,False
102,380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.058158771929824556,-0.020504,1.0,6,0.3168805900363494,False
103,480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,2,risk_tier_medium,cohort_age_60_plus,limit_200K_500K,0.9586857638888889,-0.021816,0.6666666666666666,3,0.04743581617629748,False
104,50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.6845533333333332,0.094401,1.0,6,0.03345247022389295,False
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,5,risk_tier_high,cohort_age_20_29,limit_50K_100K,0.9501055555555556,0.002448,0.16666666666666666,0,0.039519000812775186,False
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.07645,-0.042753,1.0,6,0.8885047805911115,False
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.03721875,0.010672,1.0,6,0.7161488944864259,False
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,0,risk_tier_low,cohort_age_50_59,limit_200K_500K,0.005231904761904762,-0.001594,1.0,6,1.3911895876945481,False
109,130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.872997435897436,0.120126,1.0,6,0.4226052885872135,False
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,1,risk_tier_medium,cohort_age_30_39,limit_200K_500K,0.0,-0.0,0.8333333333333334,0,1.0,False
